"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","X_N2","X_N2O3","X_N2O4","X_N2O5","X_NO","X_NO2","X_NO3","X_O","X_O2","X_O3","vtkGhostType"
-0.11593,0.0030879,1.4901e-08,344.55,-1.1423,-0.11447,0.15637,0.78996,8.7386e-13,1.5948e-08,1.0969e-05,1.2628e-07,0.00022545,3.3291e-08,2.6139e-10,0.20966,0.00014274,0
-0.11493,0.0030879,1.4901e-08,344.55,-1.1675,-0.20029,0.38608,0.78996,8.6215e-13,1.59e-08,1.1068e-05,1.2477e-07,0.00022512,3.3554e-08,2.6198e-10,0.20966,0.00014304,0
-0.11392,0.0030879,1.4901e-08,344.55,-1.1966,-0.28894,0.5359,0.78996,8.5198e-13,1.5859e-08,1.1157e-05,1.2346e-07,0.00022482,3.379e-08,2.6244e-10,0.20966,0.00014327,0
-0.11292,0.0030879,1.4901e-08,344.55,-1.246,-0.35095,0.65106,0.78996,8.4072e-13,1.5801e-08,1.1273e-05,1.2205e-07,0.00022441,3.4103e-08,2.632e-10,0.20966,0.00014366,0
-0.11191,0.0030879,1.4901e-08,344.55,-1.2718,-0.42919,0.64457,0.78996,8.301e-13,1.5738e-08,1.1398e-05,1.2075e-07,0.00022396,3.4446e-08,2.6407e-10,0.20966,0.00014411,0
-0.11091,0.0030879,1.4901e-08,344.54,-1.2627,-0.43505,0.60262,0.78996,8.2067e-13,1.567e-08,1.1516e-05,1.1963e-07,0.00022348,3.4789e-08,2.6523e-10,0.20966,0.00014472,0
-0.10991,0.0030879,1.4901e-08,344.54,-1.2372,-0.37231,0.59507,0.78996,8.1225e-13,1.5603e-08,1.1619e-05,1.1866e-07,0.00022299,3.511e-08,2.6659e-10,0.20966,0.00014543,0
-0.1089,0.0030879,1.4901e-08,344.54,-1.2004,-0.25201,0.58847,0.78996,8.0496e-13,1.5537e-08,1.1708e-05,1.1784e-07,0.00022252,3.5406e-08,2.6806e-10,0.20966,0.00014621,0
-0.1079,0.0030879,1.4901e-08,344.54,-1.1578,-0.14482,0.58368,0.78996,7.9783e-13,1.547e-08,1.1798e-05,1.1705e-07,0.00022203,3.5709e-08,2.6959e-10,0.20966,0.00014702,0
-0.10689,0.0030879,1.4901e-08,344.54,-1.1356,-0.13139,0.53973,0.78995,7.9139e-13,1.5412e-08,1.1875e-05,1.1632e-07,0.00022161,3.5972e-08,2.7096e-10,0.20966,0.00014774,0
-0.10589,0.0030879,1.4901e-08,344.54,-1.1202,-0.16927,0.49097,0.78995,7.8399e-13,1.535e-08,1.1963e-05,1.1547e-07,0.00022116,3.6262e-08,2.7232e-10,0.20966,0.00014845,0
-0.10488,0.0030879,1.4901e-08,344.54,-1.1049,-0.24955,0.4253,0.78995,7.7524e-13,1.5279e-08,1.207e-05,1.1444e-07,0.00022064,3.6603e-08,2.7378e-10,0.20966,0.00014922,0
-0.10388,0.0030879,1.4901e-08,344.54,-1.0788,-0.3294,0.34282,0.78995,7.662e-13,1.5201e-08,1.218e-05,1.1339e-07,0.00022007,3.6972e-08,2.7554e-10,0.20966,0.00015015,0
-0.10287,0.0030879,1.4901e-08,344.54,-1.0298,-0.39077,0.3075,0.78995,7.5666e-13,1.5122e-08,1.2295e-05,1.1227e-07,0.0002195,3.7349e-08,2.7722e-10,0.20966,0.00015103,0
-0.10187,0.0030879,1.4901e-08,344.54,-0.97143,-0.42963,0.30203,0.78995,7.4738e-13,1.5044e-08,1.2406e-05,1.1119e-07,0.00021892,3.772e-08,2.79e-10,0.20966,0.00015197,0
-0.10086,0.0030879,1.4901e-08,344.54,-0.921,-0.42327,0.34072,0.78995,7.3943e-13,1.497e-08,1.2494e-05,1.1027e-07,0.00021838,3.8047e-08,2.8087e-10,0.20966,0.00015296,0
-0.099858,0.0030879,1.4901e-08,344.54,-0.89579,-0.39541,0.38142,0.78995,7.3198e-13,1.4899e-08,1.2569e-05,1.0942e-07,0.00021785,3.8347e-08,2.8283e-10,0.20966,0.00015399,0
-0.098853,0.0030879,1.4901e-08,344.53,-0.87017,-0.33777,0.40649,0.78995,7.2445e-13,1.4828e-08,1.2639e-05,1.0856e-07,0.00021732,3.8642e-08,2.849e-10,0.20966,0.00015509,0
-0.097848,0.0030879,1.4901e-08,344.53,-0.84735,-0.25624,0.41767,0.78995,7.1677e-13,1.4753e-08,1.2703e-05,1.0768e-07,0.00021676,3.8938e-08,2.8718e-10,0.20966,0.0001563,0
-0.096844,0.0030879,1.4901e-08,344.53,-0.83098,-0.18448,0.39576,0.78995,7.0917e-13,1.468e-08,1.2755e-05,1.068e-07,0.00021622,3.921e-08,2.8955e-10,0.20966,0.00015756,0
-0.095839,0.0030879,1.4901e-08,344.53,-0.86608,-0.17386,0.32901,0.78995,6.9942e-13,1.4595e-08,1.282e-05,1.0563e-07,0.00021558,3.9536e-08,2.9227e-10,0.20966,0.000159,0
-0.094834,0.0030879,1.4901e-08,344.53,-0.93228,-0.20774,0.24584,0.78995,6.8969e-13,1.4517e-08,1.2874e-05,1.0445e-07,0.00021499,3.983e-08,2.9489e-10,0.20966,0.00016039,0
-0.093829,0.0030879,1.4901e-08,344.53,-1.0172,-0.26396,0.15497,0.78995,6.8187e-13,1.4462e-08,1.2889e-05,1.0346e-07,0.00021457,4e-08,2.9706e-10,0.20966,0.00016155,0
-0.092825,0.0030879,1.4901e-08,344.52,-1.1084,-0.26502,0.048479,0.78995,6.7846e-13,1.4445e-08,1.2841e-05,1.03e-07,0.00021444,3.9966e-08,2.9843e-10,0.20966,0.00016229,0
-0.09182,0.0030879,1.4901e-08,344.52,-1.1332,-0.19089,0.029175,0.78995,6.7621e-13,1.4418e-08,1.2794e-05,1.0275e-07,0.00021423,3.9962e-08,3.0024e-10,0.20966,0.00016326,0
