"N2_PPM","N2O3_PPM","N2O4_PPM","N2O5_PPM","NO2_PPM","NO3_PPM","NO_PPM","O2_PPM","O3_PPM","O_PPM","Phi","T","U:0","U:1","U:2","vtkGhostType","Points:0","Points:1","Points:2"
789640,0,0,0,1.05141e-28,3.60238e-32,4.54409e-31,209460,899.998,0.00180288,2.34656e-31,343.25,-0.215178,17.9531,0.0260001,0,-0.0254507,-0.0134886,-1.54923e-19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.0249504,-0.0134886,-1.54923e-19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.0244502,-0.0134886,-1.54923e-19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.02395,-0.0134886,-1.54923e-19
789930,4.90902e-06,0.0143202,7.38904,212.871,0.0301831,0.747782,209643,205.219,0.000377118,2.08187,344.42,0.0271998,0.0848979,-0.454968,0,-0.0234497,-0.0134886,-1.54923e-19
789931,7.10669e-06,0.0146213,6.7087,215.084,0.0279518,1.07123,209643,202.863,0.00037241,2.13106,344.418,0.210203,-0.133638,-0.597981,0,-0.0229495,-0.0134886,-1.54923e-19
789932,8.23929e-06,0.0147629,6.39702,216.12,0.0269296,1.2362,209643,201.682,0.000370066,2.15544,344.418,0.211274,-0.0158477,-0.528096,0,-0.0224493,-0.0134886,-1.54923e-19
789932,8.46658e-06,0.0147789,6.33032,216.231,0.0267448,1.26965,209643,201.766,0.000370195,2.156,344.417,0.0337891,0.145535,-0.444112,0,-0.021949,-0.0134886,-1.54923e-19
789930,8.73844e-06,0.014687,6.06386,215.507,0.0264582,1.3144,209641,205.784,0.000377639,2.10735,344.409,-0.376863,-0.121499,-0.49442,0,-0.0214488,-0.0134886,-1.54923e-19
789929,9.75679e-06,0.0147031,5.61457,215.578,0.0255385,1.46628,209640,208.53,0.000382621,2.08175,344.401,-0.832639,-0.475807,-0.708091,0,-0.0209486,-0.0134886,-1.54923e-19
